Year,Sector,Value
2001,Total Gross fixed capital formation,99.94
2002,Total Gross fixed capital formation,93.04
2003,Total Gross fixed capital formation,86.87
2004,Total Gross fixed capital formation,80.5
2005,Total Gross fixed capital formation,98.01
2006,Total Gross fixed capital formation,84.01
2007,Total Gross fixed capital formation,100.32
2008,Total Gross fixed capital formation,99.1
2009,Total Gross fixed capital formation,72.95
2010,Total Gross fixed capital formation,77.66
2011,Total Gross fixed capital formation,99.02
2012,Total Gross fixed capital formation,113.39
2013,Total Gross fixed capital formation,106.18
2014,Total Gross fixed capital formation,110.19
2015,Total Gross fixed capital formation,124.59
2016,Total Gross fixed capital formation,141.81
2017,Total Gross fixed capital formation,170.5
2018,Total Gross fixed capital formation,168.96
2019,Total Gross fixed capital formation,174.78
2020,Total Gross fixed capital formation,163.34
2021,Total Gross fixed capital formation,123.07
2022,Total Gross fixed capital formation,134.5
2023,Total Gross fixed capital formation,139.13
